assignment_id,book_id,member_id,issue_date,due_date,return_status
ASS_ID0,BID1,MID0,2026/05/27,2026/06/10,False
ASS_ID1,BID0,MID0,2002/10/17,2005/10/29,False
ASS_ID2,BID2,MID1,2026/05/27,2026/06/10,True
ASS_ID3,BID0,MID0,2026/05/27,2026/06/10,False
ASS_ID4,BID1,MID1,2027/01/01,2027/02/01,False
ASS_ID5,BID9,MID1,2025/10/12,2026/10/12,False
ASS_ID6,BID8,MID2,2026/05/28,2026/06/11,False
ASS_ID7,BID7,MID4,2026/05/28,2026/06/11,False
ASS_ID8,BID3,MID3,2026/05/28,2026/10/12,False
ASS_ID9,BID9,MID3,2024/12/01,2021/10/10,False
ASS_ID10,BID7,MID2,2026/05/28,2021/10/10,False
ASS_ID11,BID4,MID2,2026/05/28,2026/06/11,False
ASS_ID12,BID2,MID1,2026/05/28,2021/10/11,False
ASS_ID13,BID9,MID2,2026/05/28,2021/10/17,False
ASS_ID14,BID5,MID1,2022/10/12,2025/10/10,False
ASS_ID15,BID5,MID5,2026/05/28,2026/06/11,False
ASS_ID16,BID3,MID5,2026/05/28,2026/06/11,False
ASS_ID17,BID11,MID6,2026/05/29,2026/06/12,True
